[15-Apr-2021 03:58:37 Europe/Berlin] PHP Notice:  Undefined property: stdClass::$bppbno_int in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 57
[15-Apr-2021 03:58:37 Europe/Berlin] PHP Notice:  Undefined property: stdClass::$idcosting in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 58
[15-Apr-2021 11:56:18 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[17-Apr-2021 07:04:22 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\UpdateInvoiceHeader.php on line 4
[21-Apr-2021 08:50:54 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[21-Apr-2021 09:46:43 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[21-Apr-2021 09:54:48 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[26-Apr-2021 03:43:05 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[26-Apr-2021 03:43:05 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[26-Apr-2021 03:43:05 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[30-Apr-2021 11:18:39 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[18-May-2021 04:37:52 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[21-Jun-2021 04:05:31 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[09-Sep-2021 03:19:03 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[18-Oct-2021 10:32:36 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[15-Nov-2021 05:42:26 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[17-Nov-2021 09:01:07 Europe/Berlin] PHP Notice:  Undefined property: stdClass::$bppbno_int in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 57
[17-Nov-2021 09:01:07 Europe/Berlin] PHP Notice:  Undefined property: stdClass::$idcosting in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 58
